Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0245,1,,,Default,1,Assembly
Sphere NewtonsCradle 0245,4,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Sphere NewtonsCradle 0245,5,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Sphere NewtonsCradle 0245,1,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Hanging thing NewtonsCradle 0245,5,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Sphere NewtonsCradle 0245,2,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Sphere NewtonsCradle 0245,3,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
frame NewtonsCradle 0245,2,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Hanging thing NewtonsCradle 0245,2,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Hanging thing NewtonsCradle 0245,3,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
frame NewtonsCradle 0245,1,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Hanging thing NewtonsCradle 0245,1,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Hanging thing NewtonsCradle 0245,4,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
Base 198,541329011345,1,Newtons Cradle NewtonsCradle 0245,1,Default,2,Part
