Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0254,1,,,Default,1,Assembly
Hanging thing NewtonsCradle 0254,1,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Base 205,834683954619,1,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
frame NewtonsCradle 0254,2,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
frame NewtonsCradle 0254,1,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Hanging thing NewtonsCradle 0254,4,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Hanging thing NewtonsCradle 0254,5,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Sphere NewtonsCradle 0254,2,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Sphere NewtonsCradle 0254,3,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Sphere NewtonsCradle 0254,4,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Hanging thing NewtonsCradle 0254,2,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Hanging thing NewtonsCradle 0254,3,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Sphere NewtonsCradle 0254,1,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
Sphere NewtonsCradle 0254,5,Newtons Cradle NewtonsCradle 0254,1,Default,2,Part
