Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0246,1,,,Default,1,Assembly
Sphere NewtonsCradle 0246,5,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Hanging thing NewtonsCradle 0246,5,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Sphere NewtonsCradle 0246,2,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Sphere NewtonsCradle 0246,3,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Sphere NewtonsCradle 0246,1,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Sphere NewtonsCradle 0246,4,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Base 199,35170178282,1,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
frame NewtonsCradle 0246,1,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
frame NewtonsCradle 0246,2,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Hanging thing NewtonsCradle 0246,1,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Hanging thing NewtonsCradle 0246,2,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Hanging thing NewtonsCradle 0246,3,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
Hanging thing NewtonsCradle 0246,4,Newtons Cradle NewtonsCradle 0246,1,Default,2,Part
