Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0252,1,,,Default,1,Assembly
Sphere NewtonsCradle 0252,4,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Hanging thing NewtonsCradle 0252,5,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Sphere NewtonsCradle 0252,2,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Sphere NewtonsCradle 0252,1,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Sphere NewtonsCradle 0252,3,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Sphere NewtonsCradle 0252,5,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
frame NewtonsCradle 0252,1,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Hanging thing NewtonsCradle 0252,2,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Hanging thing NewtonsCradle 0252,1,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Hanging thing NewtonsCradle 0252,3,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Base 204.213938411669,1,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
Hanging thing NewtonsCradle 0252,4,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
frame NewtonsCradle 0252,2,Newtons Cradle NewtonsCradle 0252,1,Default,2,Part
