Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0256,1,,,Default,1,Assembly
Hanging thing NewtonsCradle 0256,5,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Hanging thing NewtonsCradle 0256,3,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Hanging thing NewtonsCradle 0256,4,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Sphere NewtonsCradle 0256,3,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Sphere NewtonsCradle 0256,5,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Sphere NewtonsCradle 0256,2,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Sphere NewtonsCradle 0256,1,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Sphere NewtonsCradle 0256,4,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Base 207,455429497569,1,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
frame NewtonsCradle 0256,1,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Hanging thing NewtonsCradle 0256,1,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
Hanging thing NewtonsCradle 0256,2,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
frame NewtonsCradle 0256,2,Newtons Cradle NewtonsCradle 0256,1,Default,2,Part
