Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0249,1,,,Default,1,Assembly
Sphere NewtonsCradle 0249,2,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Sphere NewtonsCradle 0249,3,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Hanging thing NewtonsCradle 0249,5,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Sphere NewtonsCradle 0249,4,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Sphere NewtonsCradle 0249,5,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Sphere NewtonsCradle 0249,1,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Hanging thing NewtonsCradle 0249,1,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Hanging thing NewtonsCradle 0249,2,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Hanging thing NewtonsCradle 0249,3,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Hanging thing NewtonsCradle 0249,4,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
Base 201,782820097245,1,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
frame NewtonsCradle 0249,1,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
frame NewtonsCradle 0249,2,Newtons Cradle NewtonsCradle 0249,1,Default,2,Part
