Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0253,1,,,Default,1,Assembly
Sphere NewtonsCradle 0253,2,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Sphere NewtonsCradle 0253,4,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Hanging thing NewtonsCradle 0253,5,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Sphere NewtonsCradle 0253,1,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Sphere NewtonsCradle 0253,3,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Sphere NewtonsCradle 0253,5,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Base 205.024311183144,1,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
frame NewtonsCradle 0253,1,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
frame NewtonsCradle 0253,2,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Hanging thing NewtonsCradle 0253,1,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Hanging thing NewtonsCradle 0253,2,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Hanging thing NewtonsCradle 0253,3,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
Hanging thing NewtonsCradle 0253,4,Newtons Cradle NewtonsCradle 0253,1,Default,2,Part
