Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0239,1,,,Default,1,Assembly
Sphere NewtonsCradle 0239,5,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Sphere NewtonsCradle 0239,1,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Sphere NewtonsCradle 0239,4,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Sphere NewtonsCradle 0239,2,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Sphere NewtonsCradle 0239,3,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Hanging thing NewtonsCradle 0239,2,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Hanging thing NewtonsCradle 0239,4,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Base NewtonsCradle 0239,1,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Hanging thing NewtonsCradle 0239,5,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
frame NewtonsCradle 0239,1,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
frame NewtonsCradle 0239,2,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Hanging thing NewtonsCradle 0239,1,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
Hanging thing NewtonsCradle 0239,3,Newtons Cradle NewtonsCradle 0239,1,Default,2,Part
