Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0241,1,,,Default,1,Assembly
Sphere NewtonsCradle 0241,3,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Sphere NewtonsCradle 0241,4,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Sphere NewtonsCradle 0241,1,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Sphere NewtonsCradle 0241,2,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Sphere NewtonsCradle 0241,5,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Base NewtonsCradle 0241,1,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
frame NewtonsCradle 0241,1,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Hanging thing NewtonsCradle 0241,2,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
frame NewtonsCradle 0241,2,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Hanging thing NewtonsCradle 0241,3,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Hanging thing NewtonsCradle 0241,4,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Hanging thing NewtonsCradle 0241,5,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
Hanging thing NewtonsCradle 0241,1,Newtons Cradle NewtonsCradle 0241,1,Default,2,Part
