Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0238,1,,,Default,1,Assembly
Sphere NewtonsCradle 0238,1,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Sphere NewtonsCradle 0238,3,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Sphere NewtonsCradle 0238,4,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Sphere NewtonsCradle 0238,5,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Sphere NewtonsCradle 0238,2,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Base NewtonsCradle 0238,1,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
frame NewtonsCradle 0238,1,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
frame NewtonsCradle 0238,2,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Hanging thing NewtonsCradle 0238,1,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Hanging thing NewtonsCradle 0238,2,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Hanging thing NewtonsCradle 0238,3,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Hanging thing NewtonsCradle 0238,4,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
Hanging thing NewtonsCradle 0238,5,Newtons Cradle NewtonsCradle 0238,1,Default,2,Part
