Name,Instance,Parent,ParentInstance,Configuration,Level,Type
Newtons Cradle NewtonsCradle 0237,1,,,Default,1,Assembly
Sphere NewtonsCradle 0237,3,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Sphere NewtonsCradle 0237,4,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Sphere NewtonsCradle 0237,5,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Sphere NewtonsCradle 0237,2,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Sphere NewtonsCradle 0237,1,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
frame NewtonsCradle 0237,2,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Hanging thing NewtonsCradle 0237,2,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Hanging thing NewtonsCradle 0237,3,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Base NewtonsCradle 0237,1,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Hanging thing NewtonsCradle 0237,5,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
frame NewtonsCradle 0237,1,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Hanging thing NewtonsCradle 0237,1,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
Hanging thing NewtonsCradle 0237,4,Newtons Cradle NewtonsCradle 0237,1,Default,2,Part
